date status
2015-12-12 Ok
2015-12-13 Ok
2015-12-14 Ok
2015-12-15 Ok
2015-12-16 Ok
2015-12-17 Ok
2015-12-18 Ok
2015-12-19 Ok
2015-12-20 Ok
2015-12-21 Ok
2015-12-22 Ok
2015-12-23 Ok
2015-12-24 Ok
2015-12-25 Ok
2015-12-26 Ok
2015-12-27 Ok
2015-12-28 Ok
2015-12-29 Ok
2015-12-30 Ok
2015-12-31 Ok
2016-01-01 Ok
2016-01-02 Ok
2016-01-03 Ok
2016-01-04 Ok
2016-01-05 Ok
2016-01-06 Ok
2016-01-07 Ok
2016-01-08 Ok
2016-01-09 Downtime
2016-01-10 Ok
2016-01-11 Ok
2016-01-12 Ok
2016-01-13 Ok
2016-01-14 Ok
2016-01-15 Ok
2016-01-16 Ok
2016-01-17 Ok
2016-01-18 Ok
2016-01-19 Ok
2016-01-20 Ok
2016-01-21 Ok
2016-01-22 Ok
2016-01-23 Ok
2016-01-24 Ok
2016-01-25 Ok
2016-01-26 Ok
2016-01-27 Ok
2016-01-28 Ok
2016-01-29 Ok
2016-01-30 Ok
2016-02-01 Ok
2016-02-02 Ok
2016-02-03 Ok
2016-02-04 Ok
2016-02-05 Ok
2016-02-06 Ok
2016-02-07 Ok
2016-02-08 Ok
2016-02-09 Ok
2016-02-10 Ok
2016-02-11 Ok
2016-02-12 Ok
2016-02-13 Ok
2016-02-14 Ok
2016-02-15 Ok
2016-02-16 Ok
2016-02-17 Ok
2016-02-18 Ok
2016-02-19 Ok
2016-02-20 Ok
2016-02-21 Ok
2016-02-22 Ok
2016-02-23 Ok
2016-02-24 Ok
2016-02-25 Ok
2016-02-26 Ok
2016-02-27 Ok
2016-02-28 Ok
2016-02-29 Ok
2016-03-01 Ok
2016-03-02 Error
2016-03-03 Error
2016-03-04 Error
2016-03-05 Ok
2016-03-06 Ok
2016-03-07 Ok
2016-03-08 Ok
2016-03-09 Ok
2016-03-10 Ok
2016-03-11 Ok
2016-03-12 Ok
2016-03-13 Ok
2016-03-14 Error
2016-03-15 Ok
2016-03-16 Ok
2016-03-17 Ok
2016-03-18 Ok
2016-03-19 Ok
2016-03-20 Ok
2016-03-21 Ok
2016-03-22 Ok
2016-03-23 Ok
2016-03-24 Ok
2016-03-25 Ok
2016-03-26 Ok
2016-03-27 Ok
2016-03-28 Ok
2016-03-29 Ok
2016-03-30 Ok
2016-03-31 Ok
2016-04-01 Ok
2016-04-02 Error
2016-04-03 Error
2016-04-04 Ok
2016-04-05 Ok
2016-04-06 Ok
2016-04-07 Error
2016-04-08 Ok
2016-04-09 Ok
2016-04-10 Ok
2016-04-11 Ok
2016-04-12 Ok
2016-04-13 Ok
2016-04-14 Ok
2016-04-15 Ok
2016-04-16 Ok
2016-04-17 Ok
2016-04-18 Ok
2016-04-19 Ok
2016-04-20 Ok
2016-04-21 Ok
2016-04-22 Ok
2016-04-23 Ok
2016-04-24 Ok
2016-04-25 Ok
2016-04-26 Ok
2016-04-27 Ok
2016-04-28 Ok
2016-04-29 Ok
2016-04-30 Ok
2016-05-01 Ok
2016-05-02 Ok
2016-05-03 Ok
2016-05-04 Ok
2016-05-05 Ok
2016-05-06 Ok
2016-05-07 Ok
2016-05-08 Ok
2016-05-09 Ok
2016-05-10 Ok
2016-05-11 Ok
2016-05-12 Ok
2016-05-13 Ok
2016-05-14 Ok
2016-05-15 Ok
2016-05-16 Ok
2016-05-17 Ok
2016-05-18 Ok
2016-05-19 Ok
2016-05-20 Ok
2016-05-21 Ok
2016-05-22 Ok
2016-05-23 Error
2016-05-24 Ok
2016-05-25 Ok
2016-05-26 Ok
2016-05-27 Ok
2016-05-28 Ok
2016-05-29 Ok
2016-05-30 Ok
2016-05-31 Ok
2016-06-01 Error
2016-06-02 Error
2016-06-03 Ok
2016-06-04 Ok
2016-06-05 Ok
2016-06-06 Ok
2016-06-07 Ok
2016-06-08 Ok
2016-06-09 Ok
2016-06-10 Error
2016-06-11 Ok
2016-06-12 Ok
2016-06-13 Ok
2016-06-14 Ok
2016-06-15 Ok
2016-06-16 Ok
2016-06-17 Ok
2016-06-18 Ok
2016-06-19 Ok
2016-06-20 Ok
2016-06-21 Ok
2016-06-22 Ok
2016-06-23 Ok
2016-06-24 Ok
2016-06-25 Ok
2016-06-26 Ok
2016-06-27 Ok
2016-06-28 Ok
2016-06-29 Ok
2016-06-30 Ok
2016-07-01 Ok
2016-07-02 Ok
2016-07-03 Ok
2016-07-04 Ok
2016-07-05 Ok
2016-07-06 Error
2016-07-07 Ok
2016-07-08 Ok
2016-07-09 Ok
2016-07-10 Ok
2016-07-11 Ok
2016-07-12 Ok
2016-07-13 Ok
2016-07-15 Ok
2016-07-16 Ok
2016-07-17 Ok
2016-07-18 Ok
2016-07-19 Ok
2016-07-20 Ok
2016-07-21 Ok
2016-07-22 Ok
2016-07-23 Ok
2016-07-24 Ok
2016-07-25 Ok
2016-07-26 Ok
2016-07-27 Ok
2016-07-28 Ok
2016-07-29 Ok
2016-07-30 Ok
2016-07-31 Ok
2016-08-01 Ok
2016-08-02 Ok
2016-08-03 Ok
2016-08-04 Ok
2016-08-05 Ok
2016-08-06 Ok
2016-08-07 Ok
2016-08-08 Ok
2016-08-09 Ok
2016-08-10 Downtime
2016-08-11 Ok
2016-08-12 Ok
2016-08-13 Ok
2016-08-14 Ok
2016-08-15 Ok
2016-08-16 Ok
2016-08-17 Ok
2016-08-18 Ok
2016-08-19 Ok
2016-08-20 Ok
2016-08-21 Ok
2016-08-22 Ok
2016-08-23 Ok
2016-08-24 Ok
2016-08-25 Ok
2016-08-26 Ok
2016-08-27 Ok
2016-08-28 Ok
2016-08-29 Ok
2016-08-30 Ok
2016-08-31 Ok
2016-09-01 Ok
2016-09-02 Ok
2016-09-03 Ok
2016-09-04 Ok
2016-09-05 Ok
2016-09-06 Ok
2016-09-07 Ok
2016-09-08 Ok
2016-09-09 Ok
2016-09-10 Ok
2016-09-11 Ok
2016-09-12 Ok
2016-09-13 Ok
2016-09-14 Ok
2016-09-15 Ok
2016-09-16 Ok
2016-09-17 Error
2016-09-18 Ok
2016-09-19 Ok
2016-09-20 Ok
2016-09-21 Ok
2016-09-22 Ok
2016-09-23 Ok
2016-09-24 Ok
2016-09-25 Ok
2016-09-26 Ok
2016-09-27 Ok
2016-09-28 Ok
2016-09-29 Ok
2016-09-30 Ok
2016-10-01 Ok
2016-10-02 Ok
2016-10-03 Ok
2016-10-04 Ok
2016-10-05 Ok
2016-10-06 Ok
2016-10-07 Ok
2016-10-08 Ok
2016-10-09 Ok
2016-10-10 Ok
2016-10-11 Ok
2016-10-12 Ok
2016-10-13 Ok
2016-10-14 Ok
2016-10-15 Ok
2016-10-16 Error
2016-10-17 Error
2016-10-18 Ok
2016-10-19 Error
2016-10-20 Ok
2016-10-21 Ok
2016-10-22 Ok
2016-10-23 Ok
2016-10-24 Ok
2016-10-25 Ok
2016-10-26 Ok
2016-10-27 Ok
2016-10-28 Ok
2016-10-29 Ok
2016-10-30 Ok
2016-10-31 Ok
2016-11-01 Ok
2016-11-02 Ok
2016-11-03 Ok
2016-11-04 Ok
2016-11-05 Ok
2016-11-06 Ok
2016-11-07 Ok
2016-11-08 Ok
2016-11-09 Ok
2016-11-10 Ok
2016-11-11 Ok
2016-11-12 Ok
2016-11-13 Ok
2016-11-14 Ok
2016-11-15 Ok
2016-11-16 Ok
2016-11-17 Ok
2016-11-18 Ok
2016-11-19 Ok
2016-11-20 Ok
2016-11-21 Ok
2016-11-22 Error
2016-11-23 Ok
2016-11-24 Ok
2016-11-25 Ok
2016-11-26 Ok
2016-11-27 Ok
2016-11-28 Ok
2016-11-29 Ok
2016-11-30 Ok
2016-12-01 Ok
2016-12-02 Ok
2016-12-03 Ok
2016-12-04 Ok
2016-12-05 Ok
2016-12-06 Ok
2016-12-07 Ok
2016-12-08 Ok
2016-12-09 Ok
2016-12-10 Ok
2016-12-11 Ok
2016-12-12 Ok
2016-12-13 Ok
2016-12-14 Ok
2016-12-15 Ok
2016-12-16 Ok
2016-12-17 Error
2016-12-18 Error
2016-12-19 Error
2016-12-20 Ok
2016-12-21 Ok
2016-12-22 Ok
2016-12-23 Ok
2016-12-24 Error
2016-12-25 Ok
2016-12-26 Ok
2016-12-27 Ok
2016-12-28 Ok
2016-12-29 Ok
2016-12-30 Ok
2016-12-31 Ok
2017-01-01 Ok
2017-01-02 Ok
2017-01-03 Ok
2017-01-04 Ok
2017-01-05 Error
2017-01-06 Ok
2017-01-07 Ok
2017-01-08 Ok
2017-01-09 Ok
2017-01-10 Ok
2017-01-11 Ok
2017-01-12 Ok
2017-01-13 Ok
2017-01-14 Ok
2017-01-15 Ok
2017-01-16 Ok
2017-01-17 Ok
2017-01-18 Ok
2017-01-19 Ok
2017-01-20 Ok
2017-01-21 Error
2017-01-22 Ok
2017-01-23 Ok
2017-01-24 Ok
2017-01-25 Ok
2017-01-26 Ok
2017-01-27 Ok
2017-01-28 Ok
2017-01-29 Ok
2017-01-30 Ok
2017-01-31 Ok
2017-02-01 Ok
2017-02-02 Ok
2017-02-03 Ok
2017-02-04 Ok
2017-02-05 Ok
2017-02-06 Ok
2017-02-07 Ok
2017-02-08 Ok
2017-02-09 Ok
2017-02-10 Ok
2017-02-11 Ok
2017-02-12 Ok
2017-02-13 Ok
2017-02-14 Ok
2017-02-15 Ok
2017-02-16 Ok
2017-02-17 Ok
2017-02-18 Ok
2017-02-19 Ok
2017-02-20 Ok
2017-02-21 Ok
2017-02-22 Ok
2017-02-23 Ok
2017-02-24 Ok
2017-02-25 Ok
2017-02-26 Ok
2017-02-27 Ok
2017-02-28 Ok
2017-03-01 Ok
2017-03-02 Error
2017-03-03 Error
2017-03-04 Error
2017-03-05 Error
2017-03-06 Ok
2017-03-07 Ok
2017-03-08 Ok
2017-03-09 Error
2017-03-10 Ok
2017-03-11 Ok
2017-03-12 Ok
2017-03-13 Ok
2017-03-14 Ok
2017-03-15 Ok
2017-03-16 Ok
2017-03-17 Ok
2017-03-18 Ok
2017-03-19 Ok
2017-03-20 Ok
2017-03-21 Ok
2017-03-22 Ok
2017-03-23 Ok
2017-03-24 Ok
2017-03-25 Ok
2017-03-26 Ok
2017-03-27 Ok
2017-03-28 Ok
2017-03-29 Ok
2017-03-30 Ok
2017-03-31 Ok
2017-04-01 Ok
2017-04-02 Ok
2017-04-03 Ok
2017-04-04 Ok
2017-04-05 Ok
2017-04-06 Ok
2017-04-07 Ok
2017-04-08 Ok
2017-04-09 Ok
2017-04-10 Ok
2017-04-11 Ok
2017-04-12 Ok
2017-04-13 Ok
2017-04-14 Ok
2017-04-15 Ok
2017-04-16 Ok
2017-04-17 Ok
2017-04-18 Ok
2017-04-19 Ok
2017-04-20 Ok
2017-04-21 Ok
2017-04-22 Ok
2017-04-23 Ok
2017-04-24 Ok
2017-04-25 Error
2017-04-26 Error
2017-04-27 Ok
2017-04-28 Ok
2017-04-29 Ok
2017-04-30 Ok
2017-05-01 Ok
2017-05-02 Ok
2017-05-03 Ok
2017-05-04 Ok
2017-05-05 Ok
2017-05-06 Ok
2017-05-07 Ok
2017-05-08 Ok
2017-05-09 Ok
2017-05-10 Ok
2017-05-11 Ok
2017-05-12 Ok
2017-05-13 Ok
2017-05-14 Ok
2017-05-15 Ok
2017-05-16 Ok
2017-05-17 Ok
